satisfaction,evaluation,number_of_projects,average_montly_hours,time_spend_company,work_accident,churn,promotion,department,salary
0.38,0.53,two,157.0,3+,no,yes,no,sales,low
0.8,0.86,five,262.0,6+,no,yes,no,sales,medium
0.11,0.88,seven,272.0,4+,no,yes,no,sales,medium
0.72,0.87,five,223.0,5+,no,yes,no,sales,low
0.37,0.52,two,159.0,3+,no,yes,no,sales,low
0.41,0.5,two,153.0,3+,no,yes,no,sales,low
0.1,0.77,six,247.0,4+,no,yes,no,sales,low
0.92,0.85,five,259.0,5+,no,yes,no,sales,low
0.89,1.0,five,224.0,5+,no,yes,no,sales,low
0.42,0.53,two,142.0,3+,no,yes,no,sales,low
0.45,0.54,two,135.0,3+,no,yes,no,sales,low
0.11,0.81,six,305.0,4+,no,yes,no,sales,low
0.84,0.92,four,234.0,5+,no,yes,no,sales,low
0.41,0.55,two,148.0,3+,no,yes,no,sales,low
0.36,0.56,two,137.0,3+,no,yes,no,sales,low
0.38,0.54,two,143.0,3+,no,yes,no,sales,low
0.45,0.47,two,160.0,3+,no,yes,no,sales,low
0.78,0.99,four,255.0,6+,no,yes,no,sales,low
0.45,0.51,two,160.0,3+,yes,yes,yes,sales,low
0.76,0.89,five,262.0,5+,no,yes,no,sales,low
0.11,0.83,six,282.0,4+,no,yes,no,sales,low
0.38,0.55,two,147.0,3+,no,yes,no,sales,low
0.09,0.95,six,304.0,4+,no,yes,no,sales,low
0.46,0.57,two,139.0,3+,no,yes,no,sales,low
0.4,0.53,two,158.0,3+,no,yes,no,sales,low
0.89,0.92,five,242.0,5+,no,yes,no,sales,low
0.82,0.87,four,239.0,5+,no,yes,no,sales,low
0.4,0.49,two,135.0,3+,no,yes,no,sales,low
0.41,0.46,two,128.0,3+,no,yes,no,accounting,low
0.38,0.5,two,132.0,3+,no,yes,no,accounting,low
0.09,0.62,six,294.0,4+,no,yes,no,accounting,low
0.45,0.57,two,134.0,3+,no,yes,no,hr,low
0.4,0.51,two,145.0,3+,no,yes,no,hr,low
0.45,0.55,two,140.0,3+,no,yes,no,hr,low
0.84,0.87,four,246.0,6+,no,yes,no,hr,low
0.1,0.94,six,255.0,4+,no,yes,no,technical,low
0.38,0.46,two,137.0,3+,no,yes,no,technical,low
0.45,0.5,two,126.0,3+,no,yes,no,technical,low
0.11,0.89,six,306.0,4+,no,yes,no,technical,low
0.41,0.54,two,152.0,3+,no,yes,no,technical,low
0.87,0.88,five,269.0,5+,no,yes,no,technical,low
0.45,0.48,two,158.0,3+,no,yes,no,technical,low
0.4,0.46,two,127.0,3+,no,yes,no,technical,low
0.1,0.8,seven,281.0,4+,no,yes,no,technical,low
0.09,0.89,six,276.0,4+,no,yes,no,technical,low
0.84,0.74,three,182.0,4+,no,yes,no,technical,low
0.4,0.55,two,147.0,3+,no,yes,no,support,low
0.57,0.7,three,273.0,6+,no,yes,no,support,low
0.4,0.54,two,148.0,3+,no,yes,no,support,low
0.43,0.47,two,147.0,3+,no,yes,no,support,low
0.13,0.78,six,152.0,2+,no,yes,no,support,low
0.44,0.55,two,135.0,3+,no,yes,no,support,low
0.38,0.55,two,134.0,3+,no,yes,no,support,low
0.39,0.54,two,132.0,3+,no,yes,no,support,low
0.1,0.92,seven,307.0,4+,no,yes,no,support,low
0.37,0.46,two,140.0,3+,no,yes,no,support,low
0.11,0.94,seven,255.0,4+,no,yes,no,support,low
0.1,0.81,six,309.0,4+,no,yes,no,technical,low
